Command: /Users/admin9/ccass-sentinel/.venv/bin/python /Users/admin9/ccass-sentinel/scripts/daily_runner.py --date 2025/09/25 --auto-backfill
Exit code: 0

STDOUT:
🛰️  CCASS Sentinel Daily Runner — 2025/09/25
  Watchlist: 2796 stocks
  Already have: 500/2796 stocks for 2025/09/25; collecting 2296 missing stocks...
  Progress: 10 processed, 2 collected, 0 errors, 0 pending timeouts
  Progress: 20 processed, 11 collected, 0 errors, 0 pending timeouts
  Progress: 30 processed, 21 collected, 0 errors, 0 pending timeouts
  Progress: 40 processed, 31 collected, 0 errors, 0 pending timeouts
  Progress: 50 processed, 40 collected, 0 errors, 0 pending timeouts
  Progress: 60 processed, 50 collected, 0 errors, 0 pending timeouts
  Progress: 70 processed, 60 collected, 0 errors, 0 pending timeouts
  Progress: 80 processed, 70 collected, 0 errors, 0 pending timeouts
  Progress: 90 processed, 80 collected, 0 errors, 0 pending timeouts
  Progress: 100 processed, 90 collected, 0 errors, 0 pending timeouts
  Progress: 110 processed, 100 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (610 entries)
  Progress: 120 processed, 109 collected, 0 errors, 0 pending timeouts
  Progress: 130 processed, 119 collected, 0 errors, 0 pending timeouts
  Progress: 140 processed, 129 collected, 0 errors, 0 pending timeouts
  Progress: 150 processed, 139 collected, 0 errors, 0 pending timeouts
  Progress: 160 processed, 149 collected, 0 errors, 0 pending timeouts
  Progress: 170 processed, 159 collected, 0 errors, 0 pending timeouts
  Progress: 180 processed, 169 collected, 0 errors, 0 pending timeouts
  Progress: 190 processed, 179 collected, 0 errors, 0 pending timeouts
  Progress: 200 processed, 189 collected, 0 errors, 0 pending timeouts
  Progress: 210 processed, 199 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (711 entries)
  Progress: 220 processed, 209 collected, 0 errors, 0 pending timeouts
  Progress: 230 processed, 219 collected, 0 errors, 0 pending timeouts
  Progress: 240 processed, 229 collected, 0 errors, 0 pending timeouts
  Progress: 250 processed, 239 collected, 0 errors, 0 pending timeouts
  Progress: 260 processed, 249 collected, 0 errors, 0 pending timeouts
  Progress: 270 processed, 259 collected, 0 errors, 0 pending timeouts
  Progress: 280 processed, 268 collected, 0 errors, 0 pending timeouts
  Progress: 290 processed, 278 collected, 0 errors, 0 pending timeouts
  Progress: 300 processed, 288 collected, 0 errors, 0 pending timeouts
  Progress: 310 processed, 298 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (812 entries)
  Progress: 320 processed, 308 collected, 0 errors, 0 pending timeouts
  Progress: 330 processed, 318 collected, 0 errors, 0 pending timeouts
  Progress: 340 processed, 328 collected, 0 errors, 0 pending timeouts
  Progress: 350 processed, 338 collected, 0 errors, 0 pending timeouts
  Progress: 360 processed, 348 collected, 0 errors, 0 pending timeouts
  Progress: 370 processed, 358 collected, 0 errors, 0 pending timeouts
