Command: /Users/admin9/ccass-sentinel/.venv/bin/python /Users/admin9/ccass-sentinel/scripts/daily_runner.py --date 2025/07/10 --auto-backfill
Exit code: 0

STDOUT:
🛰️  CCASS Sentinel Daily Runner — 2025/07/10
  Watchlist: 2796 stocks
  Already have: 500/2796 stocks for 2025/07/10; collecting 2296 missing stocks...
  Progress: 10 processed, 1 collected, 0 errors, 0 pending timeouts
  Progress: 20 processed, 10 collected, 0 errors, 0 pending timeouts
  Progress: 30 processed, 20 collected, 0 errors, 0 pending timeouts
  Progress: 40 processed, 30 collected, 0 errors, 0 pending timeouts
  Progress: 50 processed, 39 collected, 0 errors, 0 pending timeouts
  Progress: 60 processed, 49 collected, 0 errors, 0 pending timeouts
  Progress: 70 processed, 59 collected, 0 errors, 0 pending timeouts
  Progress: 80 processed, 69 collected, 0 errors, 0 pending timeouts
  Progress: 90 processed, 79 collected, 0 errors, 0 pending timeouts
  Progress: 100 processed, 89 collected, 0 errors, 0 pending timeouts
  Progress: 110 processed, 99 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (611 entries)
  Progress: 120 processed, 108 collected, 0 errors, 0 pending timeouts
  Progress: 130 processed, 118 collected, 0 errors, 0 pending timeouts
  Progress: 140 processed, 128 collected, 0 errors, 0 pending timeouts
  Progress: 150 processed, 138 collected, 0 errors, 0 pending timeouts
  Progress: 160 processed, 148 collected, 0 errors, 0 pending timeouts
  Progress: 170 processed, 158 collected, 0 errors, 0 pending timeouts
  Progress: 180 processed, 168 collected, 0 errors, 0 pending timeouts
  Progress: 190 processed, 178 collected, 0 errors, 0 pending timeouts
  Progress: 200 processed, 187 collected, 0 errors, 0 pending timeouts
  Progress: 210 processed, 197 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (713 entries)
  Progress: 220 processed, 207 collected, 0 errors, 0 pending timeouts
  Progress: 230 processed, 217 collected, 0 errors, 0 pending timeouts
  Progress: 240 processed, 227 collected, 0 errors, 0 pending timeouts
  Progress: 250 processed, 237 collected, 0 errors, 0 pending timeouts
  Progress: 260 processed, 247 collected, 0 errors, 0 pending timeouts
  Progress: 270 processed, 257 collected, 0 errors, 0 pending timeouts
  Progress: 280 processed, 266 collected, 0 errors, 0 pending timeouts
  Progress: 290 processed, 275 collected, 0 errors, 0 pending timeouts
  Progress: 300 processed, 285 collected, 0 errors, 0 pending timeouts
  Progress: 310 processed, 295 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (816 entries)
  Progress: 320 processed, 304 collected, 0 errors, 0 pending timeouts
  Progress: 330 processed, 314 collected, 0 errors, 0 pending timeouts
  Progress: 340 processed, 324 collected, 0 errors, 0 pending timeouts
  Progress: 350 processed, 334 collected, 0 errors, 0 pending timeouts
  Progress: 360 processed, 344 collected, 0 errors, 0 pending timeouts
  Progress: 370 processed, 354 collected, 0 errors, 0 pending timeouts
  Progress: 380 processed, 364 collected, 0 errors, 0 pending timeouts
  Progress: 390 processed, 374 collected, 0 errors, 0 pending timeouts
  Progress: 400 processed, 384 collected, 0 errors, 0 pending timeouts
  Progress: 410 processed, 393 collected, 0 errors, 0 pending timeouts
  💾 Interim holders saved (917 entries)
